SUMMARY,DTSTART,DTEND,DUE,NOTES,ATTENDEE,LOCATION,PRIORITY,URL,CALENDAR,UID,ORGANIZER,CATEGORIES,DURATION
"Johns Hopkins Revisit Day (MD Only)","2011-04-08","2011-04-10",,"","","Baltimore, MD","","",,,,,
"Weill Cornell/Rockefeller/Sloan-Kettering MD-PhD Program Revisit Day","2011-04-08","2011-04-09",,"","","New York City","","",,,,,
"Harvard MD-PhD Revisit Day","2011-04-13","2011-04-15",,"","","Boston, MA","","",,,,,
"Weill Cornell Medical College Revisit (MD Only)","2011-04-15","2011-04-18",,"","","","","",,,,,
"Columbia MD-PhD Revisit Day","2011-04-15","2011-04-18",,"","","Nw York City","","",,,,,
"Wash U MD-PhD Revisit","2011-04-15","2011-04-16",,"","","St Louis, MO","","",,,,,
"Harvard Revisit (MD Only)","2011-04-15","2011-04-16",,"","","","","",,,,,
"UCSF MD-PhD Revisit","2011-04-21","2011-04-25",,"","","San Francisco, CA","","",,,,,
"Penn MD-PhD Revisit Day","2011-04-28","2011-05-01",,"","","Philadelphia, PA","","",,,,,
"DECISION DEADLINE","2011-05-02","2011-05-03",,"According to the AAMC Traffic Rules, applicants cannot hold more than one acceptance by this date.  They can continue to hold on to wait list offers. ","","","","",,,,,
"U Texas HSC @ San Antonio MD-PhD Interview Days","2011-08-29","2011-08-31",,"","","","","",,,,,
"Interview Dates for Indiana University SOM MD-PhD Program","2011-08-31","2011-09-01",,"","","","","",,,,,
"Virginia Commonwealth U MD-PhD Program Interview Days","2011-09-12","2011-09-14",,"","","","","",,,,,
"University of Rochester Interview Dates","2011-09-15","2011-09-17",,"","","","","",,,,,
"University of Florida MD-PhD Program Interview Day","2011-09-15","2011-09-16",,"","","","","",,,,,
"U Texas HSC @ San Antonio MD-PhD Interview Days","2011-09-19","2011-09-21",,"","","","","",,,,,
"Virginia Commonwealth U MD-PhD Program Interview Days","2011-09-19","2011-09-21",,"","","","","",,,,,
"U Chicago MD-PhD Interview Days","2011-09-19","2011-09-22",,"","","","","",,,,,
"Temple MD-PhD Program Interview Day","2011-09-20","2011-09-21",,"","","","","",,,,,
"UVA Interview Days","2011-09-22","2011-09-24",,"","","","","",,,,,
"UMDNJ-RWJ MD-PhD Program Interview Days","2011-09-22","2011-09-24",,"","","","","",,,,,
"University of Rochester Interview Dates","2011-09-22","2011-09-24",,"","","","","",,,,,
"Hopkins MD-PhD Program Interview Dates","2011-09-22","2011-09-23",,"","","","","",,,,,
"University of Florida MD-PhD Program Interview Day","2011-09-22","2011-09-23",,"","","","","",,,,,
"Hopkins MD-PhD Program Interview Dates","2011-09-23","2011-09-24",,"","","","","",,,,,
"Temple MD-PhD Program Interview Day","2011-09-27","2011-09-28",,"","","","","",,,,,
"Interview Dates for Indiana University SOM MD-PhD Program","2011-09-28","2011-09-29",,"","","","","",,,,,
"Hopkins MD-PhD Program Interview Dates","2011-09-29","2011-09-30",,"","","","","",,,,,
"University of Florida MD-PhD Program Interview Day","2011-09-29","2011-09-30",,"","","","","",,,,,
"Hopkins MD-PhD Program Interview Dates","2011-09-30","2011-10-01",,"","","","","",,,,,
"U Conn MD-PhD Program Interview Day","2011-10-02","2011-10-04",,"","","","","",,,,,
"U Chicago MD-PhD Interview Days","2011-10-03","2011-10-06",,"","","","","",,,,,
"Virginia Commonwealth U MD-PhD Program Interview Days","2011-10-03","2011-10-05",,"","","","","",,,,,
"UCSF MD-PhD Interview Day","2011-10-04","2011-10-05",,"","","","","",,,,,
"University of Buffalo MSTP Interviews","2011-10-05","2011-10-06",,"","","","","",,,,,
"Interview Dates for Indiana University SOM MD-PhD Program","2011-10-05","2011-10-06",,"","","","","",,,,,
"University of Rochester Interview Dates","2011-10-06","2011-10-08",,"","","","","",,,,,
"Vanderbilt MD-PhD Interview Days","2011-10-06","2011-10-09",,"","","","","",,,,,
"Hopkins MD-PhD Program Interview Dates","2011-10-06","2011-10-07",,"","","","","",,,,,
"Duke MD-PhD Interview Day","2011-10-06","2011-10-07",,"","","","","",,,,,
"CWRU MD-PhD Interview Days","2011-10-06","2011-10-08",,"","","","","",,,,,
"UW-Madison Interview Days","2011-10-07","2011-10-09",,"","","","","",,,,,
"NYU MD-PhD Interview Days","2011-10-07","2011-10-08",,"","","","","",,,,,
"WUSTL MD-PhD Interview Date","2011-10-07","2011-10-08",,"","","","","",,,,,
"U MN MD-PhD Interview Day","2011-10-07","2011-10-08",,"","","","","",,,,,
"Hopkins MD-PhD Program Interview Dates","2011-10-07","2011-10-08",,"","","","","",,,,,
"Yale MD-PhD Program Interview Dates","2011-10-10","2011-10-12",,"","","","","",,,,,
"UCSF MD-PhD Interview Day","2011-10-11","2011-10-12",,"","","","","",,,,,
"Stanford MD-PhD Program Interview Days (tentative)","2011-10-11","2011-10-13",,"","","","","",,,,,
"University of Buffalo MSTP Interviews","2011-10-12","2011-10-13",,"","","","","",,,,,
"Drexel MD-PhD Interview Days","2011-10-12","2011-10-14",,"","","","","",,,,,
"Hopkins MD-PhD Program Interview Dates","2011-10-13","2011-10-14",,"","","","","",,,,,
"UVA Interview Days","2011-10-13","2011-10-15",,"","","","","",,,,,
"Columbia MD-PhD Interview Day","2011-10-13","2011-10-14",,"","","","","",,,,,
"University of Florida MD-PhD Program Interview Day","2011-10-13","2011-10-14",,"","","","","",,,,,
"Baylor COM MD-PhD Interview Day","2011-10-14","2011-10-15",,"","","","","",,,,,
"Boston University MD-PhD Program Interview Day","2011-10-14","2011-10-15",,"","","","","",,,,,
"Hopkins MD-PhD Program Interview Dates","2011-10-14","2011-10-15",,"","","","","",,,,,
"WUSTL MD-PhD Interview Date","2011-10-14","2011-10-15",,"","","","","",,,,,
"U California, Irvine MD-PhD Program Interview Day","2011-10-17","2011-10-18",,"","","","","",,,,,
"Virginia Commonwealth U MD-PhD Program Interview Days","2011-10-17","2011-10-19",,"","","","","",,,,,
"U Texas HSC @ San Antonio MD-PhD Interview Days","2011-10-17","2011-10-19",,"","","","","",,,,,
"U Chicago MD-PhD Interview Days","2011-10-17","2011-10-20",,"","","","","",,,,,
"UCSF MD-PhD Interview Day","2011-10-18","2011-10-19",,"","","","","",,,,,
"Drexel MD-PhD Interview Days","2011-10-19","2011-10-21",,"","","","","",,,,,
"Oregon MD-PhD Interview Day","2011-10-19","2011-10-21",,"","","","","",,,,,
"University of Buffalo MSTP Interviews","2011-10-19","2011-10-20",,"","","","","",,,,,
"Duke MD-PhD Interview Day","2011-10-20","2011-10-21",,"","","","","",,,,,
"Vanderbilt MD-PhD Interview Days","2011-10-20","2011-10-23",,"","","","","",,,,,
"University of Florida MD-PhD Program Interview Day","2011-10-20","2011-10-21",,"","","","","",,,,,
"Hopkins MD-PhD Program Interview Dates","2011-10-20","2011-10-21",,"","","","","",,,,,
"Interview Dates for UCLA-Caltech MSTP","2011-10-20","2011-10-22",,"","","","","",,,,,
"UVA Interview Days","2011-10-20","2011-10-22",,"","","","","",,,,,
"U Michigan MD-PhD Interview Days","2011-10-20","2011-10-22",,"","","","","",,,,,
"U Penn MD-PhD Interview Day","2011-10-20","2011-10-22",,"","","","","",,,,,
"University of Rochester Interview Dates","2011-10-20","2011-10-22",,"","","","","",,,,,
"U MN MD-PhD Interview Day","2011-10-21","2011-10-22",,"","","","","",,,,,
"Hopkins MD-PhD Program Interview Dates","2011-10-21","2011-10-22",,"","","","","",,,,,
"WUSTL MD-PhD Interview Date","2011-10-21","2011-10-22",,"","","","","",,,,,
"NYU MD-PhD Interview Days","2011-10-21","2011-10-22",,"","","","","",,,,,
"AECOM MD-PhD Interview Day","2011-10-24","2011-10-25",,"","","","","",,,,,
"Mount Sinai MD-PhD Program Interview Days","2011-10-24","2011-10-26",,"","","","","",,,,,
"Vanderbilt tentative interview dates","2011-10-24","2011-10-25",,"","","","","",,,,,
"U Texas HSC @ San Antonio MD-PhD Interview Days","2011-10-24","2011-10-26",,"","","","","",,,,,
"Temple MD-PhD Program Interview Day","2011-10-25","2011-10-26",,"","","","","",,,,,
"UCSF MD-PhD Interview Day","2011-10-25","2011-10-26",,"","","","","",,,,,
"Oregon MD-PhD Interview Day","2011-10-26","2011-10-28",,"","","","","",,,,,
"University of Buffalo MSTP Interviews","2011-10-26","2011-10-27",,"","","","","",,,,,
"Northwestern MD-PhD Program Interview Day","2011-10-26","2011-10-28",,"","","","","",,,,,
"U Texas @ Houston MD-PhD Interview Day","2011-10-27","2011-10-28",,"","","","","",,,,,
"Weill Cornell/Rockefeller/Sloan-Kettering Interview Day","2011-10-27","2011-10-28",,"","","","","",,,,,
"UMDNJ-RWJ MD-PhD Program Interview Days","2011-10-27","2011-10-29",,"","","","","",,,,,
"Hopkins MD-PhD Program Interview Dates","2011-10-27","2011-10-28",,"","","","","",,,,,
"CWRU MD-PhD Interview Days","2011-10-27","2011-10-29",,"","","","","",,,,,
"University of Florida MD-PhD Program Interview Day","2011-10-27","2011-10-28",,"","","","","",,,,,
"Hopkins MD-PhD Program Interview Dates","2011-10-28","2011-10-29",,"","","","","",,,,,
"WUSTL MD-PhD Interview Date","2011-10-28","2011-10-29",,"","","","","",,,,,
"Med U South Carolina MD-PhD Interview Day","2011-10-28","2011-10-29",,"","","","","",,,,,
"Boston University MD-PhD Program Interview Day","2011-10-28","2011-10-29",,"","","","","",,,,,
"U Conn MD-PhD Program Interview Day","2011-10-30","2011-11-01",,"","","","","",,,,,
"Emory MSTP Interview Dates","2011-10-31","2011-11-02",,"","","","","",,,,,
"U Chicago MD-PhD Interview Days","2011-10-31","2011-11-03",,"","","","","",,,,,
"Virginia Commonwealth U MD-PhD Program Interview Days","2011-10-31","2011-11-02",,"","","","","",,,,,
"UCSF MD-PhD Interview Day","2011-11-01","2011-11-02",,"","","","","",,,,,
"University of Buffalo MSTP Interviews","2011-11-02","2011-11-03",,"","","","","",,,,,
"Interview Dates for Indiana University SOM MD-PhD Program","2011-11-02","2011-11-03",,"","","","","",,,,,
"Drexel MD-PhD Interview Days","2011-11-02","2011-11-04",,"","","","","",,,,,
"Tufts MD-PhD Interview Day","2011-11-02","2011-11-03",,"","","","","",,,,,
"Vanderbilt MD-PhD Interview Days","2011-11-03","2011-11-06",,"","","","","",,,,,
"University of Rochester Interview Dates","2011-11-03","2011-11-05",,"","","","","",,,,,
"Hopkins MD-PhD Program Interview Dates","2011-11-03","2011-11-04",,"","","","","",,,,,
"Duke MD-PhD Interview Day","2011-11-03","2011-11-04",,"","","","","",,,,,
"Ohio State MD-PhD Interview Days","2011-11-03","2011-11-06",,"","","","","",,,,,
"UVA Interview Days","2011-11-03","2011-11-05",,"","","","","",,,,,
"Hopkins MD-PhD Program Interview Dates","2011-11-04","2011-11-05",,"","","","","",,,,,
"AECOM MD-PhD Interview Day","2011-11-04","2011-11-05",,"","","","","",,,,,
"Columbia MD-PhD Interview Day","2011-11-04","2011-11-05",,"","","","","",,,,,
"U MN MD-PhD Interview Day","2011-11-04","2011-11-05",,"","","","","",,,,,
"NYU MD-PhD Interview Days","2011-11-04","2011-11-05",,"","","","","",,,,,
"WUSTL MD-PhD Interview Date","2011-11-04","2011-11-05",,"","","","","",,,,,
"Iowa MSTP Interview Dates","2011-11-04","2011-11-06",,"","","","","",,,,,
"Boston University MD-PhD Program Interview Day","2011-11-04","2011-11-05",,"","","","","",,,,,
"U Illinois @ Chicago MSTP Interview Day","2011-11-07","2011-11-08",,"","","","","",,,,,
"Yale MD-PhD Program Interview Dates","2011-11-07","2011-11-09",,"","","","","",,,,,
"U Missouri - Columbia MD-PhD Program Interview Day","2011-11-07","2011-11-08",,"","","","","",,,,,
"Mount Sinai MD-PhD Program Interview Days","2011-11-07","2011-11-09",,"","","","","",,,,,
"Temple MD-PhD Program Interview Day","2011-11-08","2011-11-09",,"","","","","",,,,,
"UCSF MD-PhD Interview Day","2011-11-08","2011-11-09",,"","","","","",,,,,
"U Missouri - Columbia MD-PhD Program Interview Day","2011-11-08","2011-11-09",,"","","","","",,,,,
"University of Buffalo MSTP Interviews","2011-11-09","2011-11-10",,"","","","","",,,,,
"Interview Dates for Indiana University SOM MD-PhD Program","2011-11-09","2011-11-10",,"","","","","",,,,,
"Interview Dates for UCLA-Caltech MSTP","2011-11-10","2011-11-12",,"","","","","",,,,,
"UC San Diego MD-PhD Interview Day","2011-11-10","2011-11-11",,"","","","","",,,,,
"U Michigan MD-PhD Interview Days","2011-11-10","2011-11-12",,"","","","","",,,,,
"U Texas @ Houston MD-PhD Interview Day","2011-11-10","2011-11-11",,"","","","","",,,,,
"Baylor COM MD-PhD Interview Day","2011-11-11","2011-11-12",,"","","","","",,,,,
"AECOM MD-PhD Interview Day","2011-11-11","2011-11-12",,"","","","","",,,,,
"Wayne State MD-PhD Program Interview Days","2011-11-13","2011-11-15",,"","","","","",,,,,
"Penn State MD-PhD Interview Dates","2011-11-13","2011-11-15",,"","","","","",,,,,
"Virginia Commonwealth U MD-PhD Program Interview Days","2011-11-14","2011-11-16",,"","","","","",,,,,
"University of Maryland MSTP Interview Days","2011-11-14","2011-11-16",,"","","","","",,,,,
"UCSF MD-PhD Interview Day","2011-11-15","2011-11-16",,"","","","","",,,,,
"Stanford MD-PhD Program Interview Days (tentative)","2011-11-15","2011-11-17",,"","","","","",,,,,
"Northwestern MD-PhD Program Interview Day","2011-11-16","2011-11-18",,"","","","","",,,,,
"University of Buffalo MSTP Interviews","2011-11-16","2011-11-17",,"","","","","",,,,,
"Drexel MD-PhD Interview Days","2011-11-16","2011-11-18",,"","","","","",,,,,
"Wake Forest MD-PhD Program Interview Days","2011-11-16","2011-11-18",,"","","","","",,,,,
"Tufts MD-PhD Interview Day","2011-11-16","2011-11-17",,"","","","","",,,,,
"University of Florida MD-PhD Program Interview Day","2011-11-17","2011-11-18",,"","","","","",,,,,
"U Penn MD-PhD Interview Day","2011-11-17","2011-11-19",,"","","","","",,,,,
"University of Rochester Interview Dates","2011-11-17","2011-11-19",,"","","","","",,,,,
"Duke MD-PhD Interview Day","2011-11-17","2011-11-18",,"","","","","",,,,,
"University of Nebraska MD-PhD Program Interview Dates","2011-11-17","2011-11-18",,"","","","","",,,,,
"CWRU MD-PhD Interview Days","2011-11-17","2011-11-19",,"","","","","",,,,,
"Hopkins MD-PhD Program Interview Dates","2011-11-17","2011-11-18",,"","","","","",,,,,
"UVA Interview Days","2011-11-17","2011-11-19",,"","","","","",,,,,
"Weill Cornell/Rockefeller/Sloan-Kettering Interview Day","2011-11-17","2011-11-18",,"","","","","",,,,,
"NYU MD-PhD Interview Days","2011-11-18","2011-11-19",,"","","","","",,,,,
"Hopkins MD-PhD Program Interview Dates","2011-11-18","2011-11-19",,"","","","","",,,,,
"U Miami MD-PhD Interview Day","2011-11-18","2011-11-19",,"","","","","",,,,,
"Boston University MD-PhD Program Interview Day","2011-11-18","2011-11-19",,"","","","","",,,,,
"WUSTL MD-PhD Interview Date","2011-11-18","2011-11-19",,"","","","","",,,,,
"Columbia MD-PhD Interview Day","2011-11-18","2011-11-19",,"","","","","",,,,,
"UMDNJ-RWJ MD-PhD Program Interview Days","2011-11-20","2011-11-22",,"","","","","",,,,,
"U MN MD-PhD Interview Day","2011-11-21","2011-11-22",,"","","","","",,,,,
"Mount Sinai MD-PhD Program Interview Days","2011-11-21","2011-11-23",,"","","","","",,,,,
"Thanksgiving","2011-11-24","2011-11-26",,"","","","","",,,,,
"Wayne State MD-PhD Program Interview Days","2011-11-27","2011-11-29",,"","","","","",,,,,
"U Texas HSC @ San Antonio MD-PhD Interview Days + second visits","2011-11-28","2011-11-30",,"","","","","",,,,,
"U California, Irvine MD-PhD Program Interview Day","2011-11-29","2011-11-30",,"","","","","",,,,,
"Thomas Jefferson U MD-PhD Interview Days","2011-11-29","2011-12-01",,"","","","","",,,,,
"Tufts MD-PhD Interview Day","2011-11-30","2011-12-01",,"","","","","",,,,,
"Drexel MD-PhD Interview Days","2011-11-30","2011-12-02",,"","","","","",,,,,
"Oregon MD-PhD Interview Day","2011-11-30","2011-12-02",,"","","","","",,,,,
"UAB MSTP Interview Dates","2011-11-30","2011-12-03",,"","","Birmingham, AL","","",,,,,
"University of Buffalo MSTP Interviews","2011-11-30","2011-12-01",,"","","","","",,,,,
"Wake Forest MD-PhD Program Interview Days","2011-11-30","2011-12-02",,"","","","","",,,,,
"University of Florida MD-PhD Program Interview Day","2011-12-01","2011-12-02",,"","","","","",,,,,
"University of Rochester Interview Dates","2011-12-01","2011-12-03",,"","","","","",,,,,
"University of Nebraska MD-PhD Program Interview Dates","2011-12-01","2011-12-02",,"","","","","",,,,,
"Hopkins MD-PhD Program Interview Dates","2011-12-01","2011-12-02",,"","","","","",,,,,
"Medical College of Wisconsin MD-PhD Interview Days","2011-12-01","2011-12-03",,"","","","","",,,,,
"UCLA-Caltech MD-PhD Progrma Interview Days","2011-12-01","2011-12-03",,"","","","","",,,,,
"UVA Interview Days","2011-12-01","2011-12-03",,"","","","","",,,,,
"Duke MD-PhD Interview Day","2011-12-01","2011-12-02",,"","","","","",,,,,
"U Penn MD-PhD Interview Day","2011-12-01","2011-12-03",,"","","","","",,,,,
"U Michigan MD-PhD Interview Days","2011-12-01","2011-12-03",,"","","","","",,,,,
"UC San Diego MD-PhD Interview Day","2011-12-01","2011-12-02",,"","","","","",,,,,
"Ohio State MD-PhD Interview Days","2011-12-01","2011-12-04",,"","","","","",,,,,
"Baylor COM MD-PhD Interview Day","2011-12-02","2011-12-03",,"","","","","",,,,,
"WUSTL MD-PhD Interview Date","2011-12-02","2011-12-03",,"","","","","",,,,,
"AECOM MD-PhD Interview Day","2011-12-02","2011-12-03",,"","","","","",,,,,
"Columbia MD-PhD Interview Day","2011-12-02","2011-12-03",,"","","","","",,,,,
"Hopkins MD-PhD Program Interview Dates","2011-12-02","2011-12-03",,"","","","","",,,,,
"UCSF MD-PhD Interview Day","2011-12-02","2011-12-03",,"","","","","",,,,,
"Med U South Carolina MD-PhD Interview Day","2011-12-02","2011-12-03",,"","","","","",,,,,
"Boston University MD-PhD Program Interview Day","2011-12-02","2011-12-03",,"","","","","",,,,,
"UC Denver MSTP Interview Dates","2011-12-03","2011-12-04",,"","","","","",,,,,
"U Conn MD-PhD Program Interview Day","2011-12-04","2011-12-06",,"","","","","",,,,,
"SUNY Upstate Medical University MD-PhD Program Interview Day","2011-12-04","2011-12-07",,"","","","","",,,,,
"Wayne State MD-PhD Program Interview Days","2011-12-04","2011-12-06",,"","","","","",,,,,
"Loyola University of Chicago MD-PhD Interview Days","2011-12-05","2011-12-07",,"","","","","",,,,,
"Virginia Commonwealth U MD-PhD Program Interview Days","2011-12-05","2011-12-07",,"","","","","",,,,,
"Yale MD-PhD Program Interview Dates","2011-12-05","2011-12-07",,"","","","","",,,,,
"U Chicago MD-PhD Interview Days","2011-12-05","2011-12-08",,"","","","","",,,,,
"Emory MSTP Interview Dates","2011-12-05","2011-12-07",,"","","","","",,,,,
"Temple MD-PhD Program Interview Day","2011-12-06","2011-12-07",,"","","","","",,,,,
"Harvard MD-PhD Interview Day","2011-12-06","2011-12-07",,"","","","","",,,,,
"UCSF MD-PhD Interview Day","2011-12-06","2011-12-07",,"","","","","",,,,,
"University of Buffalo MSTP Interviews","2011-12-07","2011-12-08",,"","","","","",,,,,
"Stanford MD-PhD Program Interview Days (tentative)","2011-12-07","2011-12-09",,"","","","","",,,,,
"UAB MSTP Interview Dates","2011-12-07","2011-12-10",,"","","Birmingham, AL","","",,,,,
"Northwestern MD-PhD Program Interview Day","2011-12-07","2011-12-09",,"","","","","",,,,,
"U Texas @ Houston MD-PhD Interview Day","2011-12-08","2011-12-09",,"","","","","",,,,,
"Hopkins MD-PhD Program Interview Dates","2011-12-08","2011-12-09",,"","","","","",,,,,
"CWRU MD-PhD Interview Days","2011-12-08","2011-12-10",,"","","","","",,,,,
"Duke MD-PhD Interview Day","2011-12-08","2011-12-09",,"","","","","",,,,,
"University of Rochester Interview Dates","2011-12-08","2011-12-10",,"","","","","",,,,,
"UC Denver MSTP Interview Dates","2011-12-09","2011-12-10",,"","","","","",,,,,
"Hopkins MD-PhD Program Interview Dates","2011-12-09","2011-12-10",,"","","","","",,,,,
"Med U South Carolina MD-PhD Interview Day","2011-12-09","2011-12-10",,"","","","","",,,,,
"NYU MD-PhD Interview Days","2011-12-09","2011-12-10",,"","","","","",,,,,
"WUSTL MD-PhD Interview Date","2011-12-09","2011-12-10",,"","","","","",,,,,
"UW Madison Interview Days","2011-12-09","2011-12-11",,"","","","","",,,,,
"Wayne State MD-PhD Program Interview Days","2011-12-11","2011-12-13",,"","","","","",,,,,
"Penn State MD-PhD Interview Dates","2011-12-11","2011-12-13",,"","","","","",,,,,
"University of Maryland MSTP Interview Days","2011-12-12","2011-12-14",,"","","","","",,,,,
"U Texas HSC @ San Antonio MD-PhD Second Visits","2011-12-12","2011-12-14",,"","","","","",,,,,
"Harvard MD-PhD Interview Day","2011-12-13","2011-12-14",,"","","","","",,,,,
"UCSF MD-PhD Interview Day","2011-12-13","2011-12-14",,"","","","","",,,,,
"Temple MD-PhD Program Interview Day","2011-12-13","2011-12-14",,"","","","","",,,,,
"Wake Forest MD-PhD Program Interview Days","2011-12-14","2011-12-16",,"","","","","",,,,,
"Drexel MD-PhD Interview Days","2011-12-14","2011-12-16",,"","","","","",,,,,
"Dartmouth MD-PhD Interview Day","2011-12-14","2011-12-15",,"","","","","",,,,,
"Tufts MD-PhD Interview Day","2011-12-14","2011-12-15",,"","","","","",,,,,
"University of Buffalo MSTP Interviews","2011-12-14","2011-12-15",,"","","","","",,,,,
"U Mass MD-PhD Interview Days","2011-12-15","2011-12-17",,"","","","","",,,,,
"U Penn MD-PhD Interview Day","2011-12-15","2011-12-17",,"","","","","",,,,,
